From,Entry,Entry Name,Domain [FT],Organism,Protein families,Gene Names
1veb,P00517,KAPCA_BOVIN,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Bos taurus (Bovine),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",PRKACA
1vyw,P20248,CCNA2_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin AB subfamily",CCNA2 CCN1 CCNA
1vyw,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1vyz,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1w7h,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1w82,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1w83,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1w84,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1w8c,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1w98,P24864,CCNE1_HUMAN,,Homo sapiens (Human),"Cyclin family, Cyclin E subfamily",CCNE1 CCNE
1w98,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1wbn,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1wbo,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1wbt,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1wbv,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1wbw,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1wcc,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1wfc,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1wmk,Q9UIK4,DAPK2_HUMAN,"DOMAIN 23..285; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",DAPK2
1wvw,P53355,DAPK1_HUMAN,"DOMAIN 13..275; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 681..955; /note=""Roc""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00758""; DOMAIN 1312..1396; /note=""Death""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00064""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",DAPK1 DAPK
1wvx,P53355,DAPK1_HUMAN,"DOMAIN 13..275; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 681..955; /note=""Roc""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00758""; DOMAIN 1312..1396; /note=""Death""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00064""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",DAPK1 DAPK
1wvy,P53355,DAPK1_HUMAN,"DOMAIN 13..275; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 681..955; /note=""Roc""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00758""; DOMAIN 1312..1396; /note=""Death""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00064""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",DAPK1 DAPK
1wzy,P28482,MK01_HUMAN,"DOMAIN 25..313; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK1 ERK2 PRKM1 PRKM2
1x8b,P30291,WEE1_HUMAN,"DOMAIN 299..569; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Ser/Thr protein kinase family, WEE1 subfamily",WEE1
1xba,P43405,KSYK_HUMAN,"DOMAIN 15..107; /note=""SH2 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 168..259; /note=""SH2 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 371..631; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, SYK/ZAP-70 subfamily",SYK
1xbb,P43405,KSYK_HUMAN,"DOMAIN 15..107; /note=""SH2 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 168..259; /note=""SH2 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 371..631; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, SYK/ZAP-70 subfamily",SYK
1xh4,P61925,IPKA_HUMAN,,Homo sapiens (Human),PKI family,PKIA PRKACN1
1xh4,P00517,KAPCA_BOVIN,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Bos taurus (Bovine),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",PRKACA
1xh5,P61925,IPKA_HUMAN,,Homo sapiens (Human),PKI family,PKIA PRKACN1
1xh5,P00517,KAPCA_BOVIN,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Bos taurus (Bovine),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",PRKACA
1xh6,P61925,IPKA_HUMAN,,Homo sapiens (Human),PKI family,PKIA PRKACN1
1xh6,P00517,KAPCA_BOVIN,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Bos taurus (Bovine),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",PRKACA
1xh7,P61925,IPKA_HUMAN,,Homo sapiens (Human),PKI family,PKIA PRKACN1
1xh7,P00517,KAPCA_BOVIN,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Bos taurus (Bovine),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",PRKACA
1xh9,P61925,IPKA_HUMAN,,Homo sapiens (Human),PKI family,PKIA PRKACN1
1xh9,P00517,KAPCA_BOVIN,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Bos taurus (Bovine),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",PRKACA
1xha,P61925,IPKA_HUMAN,,Homo sapiens (Human),PKI family,PKIA PRKACN1
1xha,P00517,KAPCA_BOVIN,"DOMAIN 44..298; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 299..351; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Bos taurus (Bovine),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",PRKACA
1xo2,Q01043,CGH2_SHV21,,Saimiriine herpesvirus 2 (strain 11) (SaHV-2) (Herpesvirus saimiri),"Cyclin family, Cyclin D subfamily",72 ECLF2
1xo2,Q00534,CDK6_HUMAN,"DOMAIN 13..300; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK6 CDKN6
1xqz,P11309,PIM1_HUMAN,"DOMAIN 38..290; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",PIM1
1xr1,P11309,PIM1_HUMAN,"DOMAIN 38..290; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",PIM1
1y8g,O08679,MARK2_RAT,"DOMAIN 53..304; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 323..362; /note=""UBA""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00212""; DOMAIN 673..722; /note=""KA1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00565""",Rattus norvegicus (Rat),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",Mark2
1y8y,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1y91,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1yhs,P11309,PIM1_HUMAN,"DOMAIN 38..290; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",PIM1
1yhv,Q13153,PAK1_HUMAN,"DOMAIN 75..88; /note=""CRIB""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00057""; DOMAIN 270..521; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily",PAK1
1yi3,P11309,PIM1_HUMAN,"DOMAIN 38..290; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",PIM1
1yi4,P11309,PIM1_HUMAN,"DOMAIN 38..290; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",PIM1
1yi6,P12931,SRC_HUMAN,"DOMAIN 84..145; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 151..248; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 270..523; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",SRC SRC1
1ykr,P24941,CDK2_HUMAN,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDK2 CDKN2
1ym7,P21146,ARBK1_BOVIN,"DOMAIN 54..175; /note=""RGS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00171""; DOMAIN 191..453; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 454..521; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""; DOMAIN 558..652; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""",Bos taurus (Bovine),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily",GRK2 ADRBK1
1yoj,P12931,SRC_HUMAN,"DOMAIN 84..145; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 151..248; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 270..523; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",SRC SRC1
1yol,P12931,SRC_HUMAN,"DOMAIN 84..145; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 151..248; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 270..523; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",SRC SRC1
1yom,P12931,SRC_HUMAN,"DOMAIN 84..145; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 151..248; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 270..523; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",SRC SRC1
1yqj,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1yrp,O43293,DAPK3_HUMAN,"DOMAIN 13..275; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",DAPK3 ZIPK
1yvj,P52333,JAK3_HUMAN,"DOMAIN 24..356; /note=""FERM""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00084""; DOMAIN 375..475; /note=""SH2; atypical""; DOMAIN 521..781; /note=""Protein kinase 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 822..1111; /note=""Protein kinase 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, JAK subfamily",JAK3
1yw2,P47811,MK14_MOUSE,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Mapk14 Crk1 Csbp1 Csbp2
1ywr,P47811,MK14_MOUSE,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",Mapk14 Crk1 Csbp1 Csbp2
1ywv,P11309,PIM1_HUMAN,"DOMAIN 38..290; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",PIM1
1yxs,P11309,PIM1_HUMAN,"DOMAIN 38..290; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",PIM1
1yxt,P11309,PIM1_HUMAN,"DOMAIN 38..290; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",PIM1
1yxu,P11309,PIM1_HUMAN,"DOMAIN 38..290; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",PIM1
1yxv,P11309,PIM1_HUMAN,"DOMAIN 38..290; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",PIM1
1yxx,P11309,PIM1_HUMAN,"DOMAIN 38..290; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, PIM subfamily",PIM1
1z57,P49759,CLK1_HUMAN,"DOMAIN 161..477; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily",CLK1 CLK
1z5m,O15530,PDPK1_HUMAN,"DOMAIN 82..342; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 459..550; /note=""PH""",Homo sapiens (Human),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PDPK1 subfamily",PDPK1 PDK1
1z9x,Q9UIK4,DAPK2_HUMAN,"DOMAIN 23..285; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",DAPK2
1zar,O30245,RIO2_ARCFU,"DOMAIN 92..282; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),"Protein kinase superfamily, RIO-type Ser/Thr kinase family",rio2 AF_2426
1zlt,O14757,CHK1_HUMAN,"DOMAIN 9..265; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, NIM1 subfamily",CHEK1 CHK1
1zmu,O08679,MARK2_RAT,"DOMAIN 53..304; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 323..362; /note=""UBA""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00212""; DOMAIN 673..722; /note=""KA1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00565""",Rattus norvegicus (Rat),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",Mark2
1zmv,O08679,MARK2_RAT,"DOMAIN 53..304; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 323..362; /note=""UBA""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00212""; DOMAIN 673..722; /note=""KA1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00565""",Rattus norvegicus (Rat),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",Mark2
1zmw,O08679,MARK2_RAT,"DOMAIN 53..304; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 323..362; /note=""UBA""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00212""; DOMAIN 673..722; /note=""KA1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00565""",Rattus norvegicus (Rat),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",Mark2
1zoe,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1zog,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1zoh,P28523,CSK2A_MAIZE,"DOMAIN 34..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Zea mays (Maize),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",ACK2
1zrz,P41743,KPCI_HUMAN,"DOMAIN 25..108; /note=""PB1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01081""; DOMAIN 254..522; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 523..594; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Homo sapiens (Human),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",PRKCI DXS1179E
1zws,Q9UIK4,DAPK2_HUMAN,"DOMAIN 23..285; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",DAPK2
1zyj,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1zys,O14757,CHK1_HUMAN,"DOMAIN 9..265; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, NIM1 subfamily",CHEK1 CHK1
1zz2,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
1zzl,Q16539,MK14_HUMAN,"DOMAIN 24..308; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
2a1a,P20459,IF2A_YEAST,"DOMAIN 17..88; /note=""S1 motif""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00180""",Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),EIF-2-alpha family,SUI2 TIF211 YJR007W J1429
2a1a,P19525,E2AK2_HUMAN,"DOMAIN 9..77; /note=""DRBM 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00266""; DOMAIN 100..167; /note=""DRBM 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00266""; DOMAIN 267..538; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Ser/Thr protein kinase family, GCN2 subfamily",EIF2AK2 PKR PRKR
2a27,Q9UIK4,DAPK2_HUMAN,"DOMAIN 23..285; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",DAPK2
2a2a,Q9UIK4,DAPK2_HUMAN,"DOMAIN 23..285; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily",DAPK2
