Entry,Entry Name,Domain [FT],Organism,Protein families,Gene Names
P38438,TGFR2_RAT,"DOMAIN 244..546; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Rattus norvegicus (Rat),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Tgfbr2
P38444,AVR2A_RAT,"DOMAIN 192..485; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Rattus norvegicus (Rat),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Acvr2a Actrii Acvr2
P38445,AVR2B_RAT,"DOMAIN 190..481; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Rattus norvegicus (Rat),"Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily",Acvr2b Actriib
P38615,RIM11_YEAST,"DOMAIN 39..322; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",RIM11 GSK3 MDS1 YMR139W YM9375.08
P38622,RCK1_YEAST,"DOMAIN 121..414; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Protein kinase superfamily, Ser/Thr protein kinase family",RCK1 YGL158W G1854
P38679,COT1_NEUCR,"DOMAIN 214..518; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 519..598; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),"Protein kinase superfamily, STE Ser/Thr protein kinase family, COT1 subfamily",cot-1 NCU07296
P38692,KIC1_YEAST,"DOMAIN 23..276; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Protein kinase superfamily, Ser/Thr protein kinase family",KIC1 NRK1 YHR102W
P38938,CEK1_SCHPO,"DOMAIN 28..98; /note=""PAS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00140""; DOMAIN 589..958; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 959..1057; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),"Protein kinase superfamily, Ser/Thr protein kinase family",cek1 SPCC1450.11c
P38973,CC2H1_TRYBB,"DOMAIN 5..297; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Trypanosoma brucei brucei,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CRK1 KIN1
P38991,IPL1_YEAST,"DOMAIN 104..355; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily",IPL1 YPL209C
P39009,DUN1_YEAST,"DOMAIN 56..112; /note=""FHA""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00086""; DOMAIN 200..480; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CHEK2 subfamily",DUN1 YDL101C D2370
P39073,SSN3_YEAST,"DOMAIN 75..463; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",SSN3 ARE1 CDK8 GIG2 SRB10 UME5 YPL042C
P39688,FYN_MOUSE,"DOMAIN 82..143; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 149..246; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 271..524; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",Fyn
P39745,MPK1_CAEEL,"DOMAIN 96..384; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Caenorhabditis elegans,"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",mpk-1 sur-1 F43C1.2
P39951,CDK1_RAT,"DOMAIN 4..287; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Rattus norvegicus (Rat),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",Cdk1 Cdc2 Cdc2a Cdkn1
P39962,KC13_YEAST,"DOMAIN 14..319; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",YCK3 CKI3 YER123W
P40230,RAG8_KLULA,"DOMAIN 77..361; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica),"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",RAG8 KLLA0D11044g
P40231,CSK2A_SCHPO,"DOMAIN 43..327; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),"Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily",cka1 orb5 SPAC23C11.11
P40233,CKI1_SCHPO,"DOMAIN 12..274; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",cki1 SPBC1347.06c
P40234,CKI2_SCHPO,"DOMAIN 12..282; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",cki2 SPBP35G2.05c
P40235,HHP1_SCHPO,"DOMAIN 11..279; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",hhp1 SPBC3H7.15
P40236,HHP2_SCHPO,"DOMAIN 12..278; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",hhp2 SPAC23C4.12
P40376,KAPB_SCHPO,"DOMAIN 201..456; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 457..512; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, cAMP subfamily",pka1 tpk SPBC106.10
P40417,ERKA_DROME,"DOMAIN 38..326; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Drosophila melanogaster (Fruit fly),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",rl ERKa MAPK CG12559
P41239,CSK_CHICK,"DOMAIN 9..70; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 82..171; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 195..450; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Gallus gallus (Chicken),"Protein kinase superfamily, Tyr protein kinase family, CSK subfamily",CSK
P41240,CSK_HUMAN,"DOMAIN 9..70; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 82..171; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 195..449; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, CSK subfamily",CSK
P41241,CSK_MOUSE,"DOMAIN 9..70; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 82..171; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 195..449; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, Tyr protein kinase family, CSK subfamily",Csk
P41242,MATK_MOUSE,"DOMAIN 46..108; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 120..209; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 233..481; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, Tyr protein kinase family, CSK subfamily",Matk Ctk Ntk
P41243,MATK_RAT,"DOMAIN 7..69; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 81..170; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 194..443; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Rattus norvegicus (Rat),"Protein kinase superfamily, Tyr protein kinase family, CSK subfamily",Matk Batk Ctk
P41279,M3K8_HUMAN,"DOMAIN 138..388; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily",MAP3K8 COT ESTF
P41743,KPCI_HUMAN,"DOMAIN 25..108; /note=""PB1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01081""; DOMAIN 254..522; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 523..594; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Homo sapiens (Human),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",PRKCI DXS1179E
P41808,SMK1_YEAST,"DOMAIN 38..337; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",SMK1 YPR054W YP9499.10
P41892,CDC7_SCHPO,"DOMAIN 9..259; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast),"Protein kinase superfamily, Ser/Thr protein kinase family, CDC7 subfamily",cdc7 SPBC21.06c
P42158,CKL1_ARATH,"DOMAIN 9..278; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Arabidopsis thaliana (Mouse-ear cress),"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",CKL1 CK1 CKI6 At4g26100 F20B18.210
P42159,RTK2_GEOCY,"DOMAIN 1..67; /note=""Ig-like C2-type""; DOMAIN 346..605; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Geodia cydonium (Sponge),"Protein kinase superfamily, Tyr protein kinase family, Insulin receptor subfamily",TK
P42168,KC1A_CAEEL,"DOMAIN 16..284; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Caenorhabditis elegans,"Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily",kin-19 C03C10.1
P42525,ERK1_DICDI,"DOMAIN 149..439; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Dictyostelium discoideum (Slime mold),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",erkA erk1 DDB_G0286353
P42679,MATK_HUMAN,"DOMAIN 48..110; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 122..211; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 235..482; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, CSK subfamily",MATK CTK HYL
P42680,TEC_HUMAN,"DOMAIN 4..111; /note=""PH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00145""; DOMAIN 179..239; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 247..345; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 370..623; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",TEC PSCTK4
P42681,TXK_HUMAN,"DOMAIN 82..142; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 150..246; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 271..527; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",TXK PTK4 RLK
P42682,TXK_MOUSE,"DOMAIN 82..142; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 150..246; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 271..527; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, Tyr protein kinase family, TEC subfamily",Txk Rlk
P42683,LCK_CHICK,"DOMAIN 60..120; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 126..223; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 244..497; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Gallus gallus (Chicken),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",LCK
P42684,ABL2_HUMAN,"DOMAIN 107..167; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 173..263; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 288..539; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, ABL subfamily",ABL2 ABLL ARG
P42685,FRK_HUMAN,"DOMAIN 42..110; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 116..208; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 234..491; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",FRK PTK5 RAK
P42686,SRK1_SPOLA,"DOMAIN 54..116; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 122..214; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 240..493; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Spongilla lacustris (Freshwater sponge),"Protein kinase superfamily, Tyr protein kinase family, SRC subfamily",SRK1
P42687,SPK1_GIRTI,"DOMAIN 33..94; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 100..200; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 220..482; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Girardia tigrina (Planarian) (Dugesia tigrina),"Protein kinase superfamily, Tyr protein kinase family",
P42688,SRK2_SPOLA,"DOMAIN <1..70; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 95..348; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Spongilla lacustris (Freshwater sponge),"Protein kinase superfamily, Tyr protein kinase family",SRK2
P42689,SRK3_SPOLA,"DOMAIN <1..42; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 66..321; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Spongilla lacustris (Freshwater sponge),"Protein kinase superfamily, Tyr protein kinase family",SRK3
P42690,SRK4_SPOLA,"DOMAIN 54..116; /note=""SH3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00192""; DOMAIN 122..214; /note=""SH2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 240..493; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Spongilla lacustris (Freshwater sponge),"Protein kinase superfamily, Tyr protein kinase family",SRK1
P42818,KPK1_ARATH,"DOMAIN 134..389; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 390..460; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Arabidopsis thaliana (Mouse-ear cress),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, S6 kinase subfamily",ATPK1 ATPK6 S6K1 At3g08730 F17O14.20
P43057,KPC1_CANAX,"DOMAIN 2..76; /note=""REM-1 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 106..183; /note=""REM-1 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01207""; DOMAIN 189..311; /note=""C2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00041""; DOMAIN 770..1029; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 1030..1097; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Candida albicans (Yeast),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",PKC1
P43063,CDK1_CANAL,"DOMAIN 7..292; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",CDC28 CDK1 CAALFM_CR06050WA CaO19.11337 CaO19.3856
P43068,MKC1_CANAX,"DOMAIN 28..339; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Candida albicans (Yeast),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MKC1
P43249,GRK5_BOVIN,"DOMAIN 53..171; /note=""RGS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00171""; DOMAIN 186..448; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 449..514; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Bos taurus (Bovine),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily",GRK5 GPRK5
P43250,GRK6_HUMAN,"DOMAIN 53..171; /note=""RGS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00171""; DOMAIN 186..448; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 449..514; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""",Homo sapiens (Human),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily",GRK6 GPRK6
P43288,KSG1_ARATH,"DOMAIN 69..353; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Arabidopsis thaliana (Mouse-ear cress),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",ASK1 SK11 At5g26751 F2P16.21
P43289,KSG3_ARATH,"DOMAIN 73..357; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Arabidopsis thaliana (Mouse-ear cress),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, GSK-3 subfamily",ASK3 SK12 At3g05840 F10A16.14
P43291,SRK2A_ARATH,"DOMAIN 4..260; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Arabidopsis thaliana (Mouse-ear cress),"Protein kinase superfamily, Ser/Thr protein kinase family",SRK2A ASK1 OSKL7 SNRK2.4 At1g10940 T19D16.14
P43292,SRK2G_ARATH,"DOMAIN 4..260; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Arabidopsis thaliana (Mouse-ear cress),"Protein kinase superfamily, Ser/Thr protein kinase family",SRK2G ASK2 OSKL8 SNRK2.1 At5g08590 MAH20.15
P43293,PBL11_ARATH,"DOMAIN 68..353; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Arabidopsis thaliana (Mouse-ear cress),"Protein kinase superfamily, Ser/Thr protein kinase family",PBL11 NAK At5g02290 T1E22_50
P43294,MHK_ARATH,"DOMAIN 12..291; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Arabidopsis thaliana (Mouse-ear cress),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",MHK At4g13020 F25G13.110
P43403,ZAP70_HUMAN,"DOMAIN 10..102; /note=""SH2 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 163..254; /note=""SH2 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 338..600; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, SYK/ZAP-70 subfamily",ZAP70 SRK
P43404,ZAP70_MOUSE,"DOMAIN 10..102; /note=""SH2 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 163..254; /note=""SH2 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 337..597; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Mus musculus (Mouse),"Protein kinase superfamily, Tyr protein kinase family, SYK/ZAP-70 subfamily",Zap70 Srk Zap-70
P43405,KSYK_HUMAN,"DOMAIN 15..107; /note=""SH2 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 168..259; /note=""SH2 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00191""; DOMAIN 371..631; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, Tyr protein kinase family, SYK/ZAP-70 subfamily",SYK
P43450,CDK2_CARAU,"DOMAIN 4..286; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Carassius auratus (Goldfish),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily",cdk2
P43481,KIT_BOVIN,"DOMAIN 27..112; /note=""Ig-like C2-type 1""; DOMAIN 121..205; /note=""Ig-like C2-type 2""; DOMAIN 212..309; /note=""Ig-like C2-type 3""; DOMAIN 318..411; /note=""Ig-like C2-type 4""; DOMAIN 414..508; /note=""Ig-like C2-type 5""; DOMAIN 590..938; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Bos taurus (Bovine),"Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily",KIT
P43565,RIM15_YEAST,"DOMAIN 794..1254; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 1255..1320; /note=""AGC-kinase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00618""; DOMAIN 1636..1750; /note=""Response regulatory""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00169""",Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Protein kinase superfamily, Ser/Thr protein kinase family",RIM15 TAK1 YFL033C
P43637,TOS3_YEAST,"DOMAIN 50..344; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),"Protein kinase superfamily, Ser/Thr protein kinase family",TOS3 YGL179C G1618
P45894,AAPK1_CAEEL,"DOMAIN 24..276; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Caenorhabditis elegans,"Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily",aak-1 PAR2.3
P45983,MK08_HUMAN,"DOMAIN 26..321; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK8 JNK1 PRKM8 SAPK1 SAPK1C
P45984,MK09_HUMAN,"DOMAIN 26..321; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK9 JNK2 PRKM9 SAPK1A
P45985,MP2K4_HUMAN,"DOMAIN 102..367; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Homo sapiens (Human),"Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily",MAP2K4 JNKK1 MEK4 MKK4 PRKMK4 SEK1 SERK1 SKK1
P46196,MK01_BOVIN,"DOMAIN 25..313; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""",Bos taurus (Bovine),"Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily",MAPK1 ERK2 PRKM1
P46197,ANPRB_BOVIN,"DOMAIN 513..786; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; DOMAIN 861..991; /note=""Guanylate cyclase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00099""",Bos taurus (Bovine),Adenylyl cyclase class-4/guanylyl cyclase family,NPR2
